id_pos,competidores,ingreso_mediana,ingreso_promedio,densidad_poblacional,pct_0a5,pct_5a9,pct_10a14,pct_15a19,pct_20a24,pct_25a29,pct_30a34,pct_35a39,pct_40a44,pct_45a49,pct_50a54,pct_55a59,pct_60a64,pct_65a69,pct_70a74,pct_75a79,pct_80a84,pct_85ainf,pct_bachelors,pct_doctorados,pct_secundario,pct_master,pct_bicicleta,pct_omnibus,pct_subtes,pct_taxi,pct_caminata,mediana_valor_hogar
-37,9,60769.03,84420.065,32715.7,5.26,4.33,4.245,4.71,5.935,11.185,9.74,7.605,6.465,5.67,6.445,6.47,6.24,4.905,4.08,2.565,2.065,2.095,22.88,2.395,21.44,10.6,1.935,3.055,26.005,1.36,16.475,434685.415
-37,6,39675.89,50716.23,29985.71,8.86,8.6,8.17,7.58,8.95,8.23,7.23,6.05,5.95,5.52,5.61,5.25,4.59,3.68,2.27,1.48,1.1,0.89,10.61,0.23,25.97,2.51,0.55,2.91,0.47,0,1.38,143807.15
-37,36,65351.9775,82575.15,7610.355,6.46,6.29625,6.08875,5.75875,7.03125,7.755,7.39125,6.4625,6.71,6.80375,7.12625,6.43,5.1925,4.12,3.25875,2.49,2.1225,2.5075,20.6675,1.32875,29.25625,8.87,0.2575,0.7425,0.17125,0.01375,2.36,212977.485
-37,25,62489.12167,84227.44333,5685.86,6.288333333,7.19,6.958333333,6.15,5.841666667,6.311666667,6.685,6.256666667,6.548333333,5.758333333,6.621666667,6.911666667,6.373333333,4.978333333,3.686666667,2.701666667,2.093333333,2.643333333,25.00166667,1.513333333,22.805,8.9,0.221666667,1.056666667,0.005,0.266666667,2.091666667,219048.1067
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36,0,41166.76,53147.44,4757.63,6.72,6.37,6.3,5.77,8.55,8.3,6.8,4.83,5.82,6.49,6.81,6.35,4.96,4.48,4.19,3.08,2.41,1.75,14.81,0.69,32.3,3.52,0.39,0.24,0,0,1.39,107329.7
-36,41,56233.76,75372.96167,11561.57167,5.998333333,6.398333333,6.66,6.036666667,6.493333333,7.348333333,6.858333333,6.2,6.683333333,6.635,7.443333333,7.048333333,5.925,4.578333333,3.235,2.325,2.015,2.116666667,21.30666667,0.993333333,23.04833333,7.37,0.865,2.285,0.106666667,0.113333333,3.018333333,200939.7933
-36,37,62144.38167,83658.37667,13557.46333,5.635,6.158333333,6.103333333,6.455,8.335,6.001666667,5.675,5.35,5.878333333,6.478333333,6.933333333,6.996666667,6.018333333,5.11,3.888333333,3.183333333,2.678333333,3.121666667,23.29333333,1.998333333,23.45666667,11.07833333,0.283333333,6.906666667,2.905,0.211666667,3.69,287740.26
-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-35,61,60076.41,79509.449,8355.024,6.285,5.901,5.654,6.281,10.785,9.798,8.89,6.797,6.676,5.897,6.227,5.597,4.689,3.588,2.336,1.702,1.319,1.575,27.35,1.836,20.517,11.001,0.886,1.92,0.052,0.093,4.129,218127.906
-35,76,64432.8475,80859.3275,9498.64,5.876666667,5.890833333,5.746666667,6.534166667,6.939166667,7.504166667,7.41,5.966666667,6.1025,6.208333333,6.850833333,6.7225,5.821666667,4.693333333,3.459166667,2.741666667,2.323333333,3.2,18.51166667,1.7,29.5025,7.684166667,0.326666667,2.276666667,1.781666667,0.1725,2.735,235432.2467
-35,51,77167.676,105120.284,24699.902,5.422,6.106,6.044,9.076,12.372,8.476,7.962,6.77,6.944,6.036,5.762,4.912,4.26,3.354,2.206,1.484,1.276,1.532,27.352,3.418,14.27,14.186,1.176,3.068,7.722,0.124,16.492,516988.89
-35,103,55179.53182,73108.94364,23853.12545,5.319090909,4.734545455,4.559090909,6.980909091,9.648181818,9.270909091,8.503636364,6.603636364,6.352727273,6.048181818,6.207272727,5.850909091,5.154545455,4.272727273,3.251818182,2.480909091,2.172727273,2.590909091,20.42454545,1.819090909,24.93090909,8.997272727,1.137272727,2.675454545,5.226363636,0.250909091,6.496363636,276374.8636
