288,0
953,0
1004,0
1488,0
3142,7
3143,49
3144,75
3146,7
3147,14
3148,12
3150,45
3151,40
3152,48
3154,36
3155,6
3156,41
3157,28
3158,108
3159,87
3162,29
3163,65
3164,54
3165,62
3166,7
3167,31
3168,117
3169,13
3170,60
3171,0
3172,8
3174,53
3175,8
3176,45
3177,36
3179,88
3180,12
3181,13
3182,18
3183,38
3184,101
3187,0
3188,96
3189,11
3190,18
3191,17
3192,52
3193,9
3195,48
3196,50
3198,12
3200,83
3201,85
3202,7
3203,34
3204,40
3205,27
3206,4
3207,16
3209,24
3210,50
3212,4
3214,10
3216,40
3217,21
3218,25
3219,66
3220,22
3221,24
3222,11
3226,81
3227,24
3228,24
3229,74
3230,3
3231,36
3232,21
3233,19
3234,26
3235,6
3236,58
3237,34
3238,34
3239,3
3240,9
3242,11
3243,62
3244,40
3245,61
3246,36
3247,22
3248,6
3249,31
3250,53
3251,73
3252,43
3253,27
3254,9
3255,57
3256,8
3257,61
3258,21
3259,22
3260,56
3261,97
3262,55
3263,83
3264,53
3265,98
3266,56
3267,60
3268,70
3269,62
3270,103
3271,70
3272,87
3273,9
3274,74
3275,35
3276,21
3277,40
3278,54
3279,34
3280,15
3283,81
3284,24
3285,33
3286,41
3287,72
3288,57
3289,35
3290,22
3291,83
3292,39
3293,63
3294,43
3295,44
3296,72
3297,69
3298,21
3299,53
3300,0
3301,25
3302,49
3304,47
3305,79
3306,48
3307,71
3308,23
3310,99
3312,57
3313,103
3314,58
3315,69
3316,63
3317,7
3318,67
3319,7
3320,76
3321,9
3322,40
3324,0
3325,23
3326,70
3327,129
3328,43
3329,36
3330,15
3331,58
3332,20
3334,34
3335,18
3336,14
3337,46
3338,92
3340,64
3341,46
3342,16
3343,67
3344,133
3345,33
3346,39
3347,24
3348,87
3349,32
3350,35
3352,109
3353,56
3356,106
3357,33
3358,33
3359,113
3360,48
3361,72
3362,59
3363,71
3364,51
3365,15
3366,11
3367,7
3368,18
3369,93
3370,66
3371,62
3372,71
3373,18
